Country,City,AccentCity,Region,Population,Latitude,Longitude
cn,shanghai,Shanghai,23,14608512,31.045556,121.399722
br,sao paulo,São Paulo,27,10021437,-23.473293,-46.665803
cd,kinshasa,Kinshasa,6,7787832,-4.3,15.3
eg,cairo,Cairo,11,7734602,30.05,31.25
cn,peking,Peking,22,7480601,39.928889,116.388333
gb,london,London,H9,7421228,51.514125,-0.093689
co,bogota,Bogotá,34,7102602,4.649178,-74.062827
bd,dhaka,Dhaka,81,6493177,23.7230556,90.4086111
br,rio de janeiro,Rio de Janeiro,21,6023742,-22.9,-43.233333
cl,santiago,Santiago,12,4837248,-33.45,-70.666667
ca,toronto,Toronto,8,4612187,43.666667,-79.416667
au,sydney,Sydney,2,4394585,-33.861481,151.205475
cn,wuhan,Wuhan,12,4184206,30.580125,114.273405
cn,chongqing,Chongqing,33,3967028,29.562778,106.552778
cn,xian,Xian,26,3953191,34.258333,108.928611
cn,chengdu,Chengdu,32,3950437,30.666667,104.066667
eg,alexandria,Alexandria,6,3811512,31.1980556,29.9191667
cn,tianjin,Tianjin,28,3766207,39.142222,117.176667
au,melbourne,Melbourne,7,3730212,-37.813938,144.963425
ci,abidjan,Abidjan,82,3692570,5.309657,-4.012656
cn,shenyang,Shenyang,19,3512192,41.792222,123.432778
de,berlin,Berlin,16,3398362,52.516667,13.4
ca,montreal,Montreal,10,3268513,45.5,-73.583333
cn,harbin,Harbin,8,3229883,45.75,126.65
cn,guangzhou,Guangzhou,30,3152825,23.116667,113.25
es,madrid,Madrid,29,3102644,40.408566,-3.69222
cn,nanjing,Nanjing,4,3087010,32.061667,118.777778
af,kabul,Kabul,13,3043589,34.516667,69.183333
ao,luanda,Luanda,20,2776125,-8.836804,13.233174
et,addis abeba,Addis Abeba,44,2757807,9.024325,38.749226
cn,taiyuan,Taiyuan,24,2722475,37.726944,112.470833
br,salvador,Salvador,5,2711903,-12.983333,-38.516667
cn,changchun,Changchun,5,2537421,43.88,125.322778
eg,gizeh,Gizeh,8,2443490,30.0086111,31.2122222
br,fortaleza,Fortaleza,6,2416920,-3.316667,-41.416667
co,cali,Cali,29,2392897,3.437222,-76.5225
br,belo horizonte,Belo Horizonte,15,2373255,-19.916667,-43.933333
br,brasilia,Brasília,7,2207812,-15.783333,-47.916667
do,santo domingo,Santo Domingo,5,2202016,18.4666667,-69.9
fr,paris,Paris,A8,2110694,48.866667,2.333333
cn,jinan,Jinan,25,2069266,36.668333,116.997222
cn,tangshan,Tangshan,10,2054526,37.3325,114.701389
cn,dalian,Dalian,19,2035307,38.912222,121.602222
co,medellin,Medellín,2,2000001,6.25184,-75.563591
dz,algiers,Algiers,1,1980242,36.7630556,3.0505556
gh,accra,Accra,1,1963460,5.55,-0.2166667
ec,guayaquil,Guayaquil,10,1952029,-2.1666667,-79.9
cn,jilin,Jilin,5,1881977,43.850833,126.560278
